"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10404099999","1997-01-01","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","   7.2","24","   3.5","22","1024.2","24","018.4","24","  3.6","24","  3.6","24","  8.0","999.9","  14.0"," ","   3.4","*"," 0.00","G","  2.0","000000"
"10404099999","1997-01-02","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","   5.7","24","   2.7","24","1022.3","24","016.5","24","  2.1","24","  1.7","24","  2.9","999.9","  15.4"," ","  -1.1"," "," 0.00","G","  2.0","000000"
"10404099999","1997-01-03","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  16.9","24","  13.1","24","1014.3","24","008.7","24","  3.3","24","  6.8","24"," 11.1","999.9","  21.7","*","   5.4"," "," 0.00","G","  2.0","001000"
"10404099999","1997-01-04","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  23.4","24","  20.1","24","1008.7","24","003.2","24","  4.4","24","  8.3","24","  9.9","999.9","  25.0","*","  19.9"," "," 0.00","G","  2.0","011000"
"10404099999","1997-01-05","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  24.1","24","  20.3","24","1014.5","24","009.0","24"," 11.4","24","  4.9","24","  8.0","999.9","  25.3"," ","  21.9"," "," 0.00","G","  1.6","001000"
"10404099999","1997-01-06","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  19.1","24","  16.6","23","1021.8","24","016.2","24","  3.8","24","  3.8","24","  7.0","999.9","  25.0"," ","  12.9"," "," 0.00","G","  1.6","011000"
"10404099999","1997-01-07","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  20.5","24","  17.6","24","1022.3","24","016.7","24","  6.0","24","  3.8","24","  6.0","999.9","  24.3"," ","  13.1"," "," 0.00","G","  1.6","000000"
"10404099999","1997-01-08","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  15.9","23","  14.8","23","1014.8","23","009.2","23","  2.8","23","  3.9","23","  5.1","999.9","  21.2"," ","  12.7"," "," 0.00","G","  1.6","000000"
"10404099999","1997-01-09","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  19.2","24","  17.3","24","1010.7","24","005.2","24","  2.7","24","  4.4","24","  8.0","999.9","  24.4","*","  14.5"," "," 0.00","G","  1.2","000000"
"10404099999","1997-01-10","51.75","6.2833333","43.0","KALKAR MIL COMM, GM","  26.4","24","  22.3","24","1020.2","24","014.7","24","  3.4","24","  2.9","24","  6.0","999.9","  28.2"," ","  21.2"," "," 0.00","G","  1.2","011000"
