"Date","Type","JDay","Coef","VIP","MetricMean","MetricStdev"
701,"Chill",-183,0.0711006357941305,0.48634032857274,0.2,0.352606209268867
702,"Chill",-182,0.207592287685433,1.11785159350298,0.174242424242424,0.328968243944076
703,"Chill",-181,0.162092262358887,0.994945259672148,0.172727272727273,0.344528805839147
704,"Chill",-180,0.141601343552108,0.901611180999586,0.157575757575758,0.335951801628889
705,"Chill",-179,0.159468342643659,0.917422945907201,0.154545454545455,0.308310443997822
706,"Chill",-178,0.15367018614456,1.01977684985601,0.171212121212121,0.338537375700571
707,"Chill",-177,0.124503557910626,0.914809369320491,0.15,0.301662294752992
708,"Chill",-176,0.12366682425056,1.01001251843268,0.136363636363636,0.28032558662141
709,"Chill",-175,0.0974143708301192,0.999653000995212,0.134848484848485,0.263847036948449
710,"Chill",-174,0.08588010169195,0.837735179690949,0.127272727272727,0.260485393881941
711,"Chill",-173,0.0935265742615948,0.913174238464111,0.131818181818182,0.259529134974913
712,"Chill",-172,0.0897570736486482,0.874351865906935,0.140909090909091,0.261143304999195
713,"Chill",-171,0.0262414797403813,0.706639383924977,0.136363636363636,0.299647268938535
714,"Chill",-170,0.0351074122345024,0.623385674085098,0.127272727272727,0.280675151040883
715,"Chill",-169,0.0163940650052881,0.521020384892431,0.142424242424242,0.285703946610868
716,"Chill",-168,0.0193028083354995,0.515020578947498,0.146969696969697,0.28849715977235
717,"Chill",-167,0.0242052879350702,0.491101090015438,0.134848484848485,0.245132852406495
718,"Chill",-166,0.0311378887276928,0.58112696961671,0.137878787878788,0.250782033140067
719,"Chill",-165,0.050244823667023,0.625647426378069,0.125757575757576,0.246045437632263
720,"Chill",-164,0.0251475970118004,0.412046797424765,0.133333333333333,0.253545618720347
721,"Chill",-163,0.0295812842168693,0.443382922722132,0.13030303030303,0.254042352622169
722,"Chill",-162,0.0123304979313175,0.421433612878158,0.122727272727273,0.241293265794269
723,"Chill",-161,0.0217140284200477,0.391067892510861,0.112121212121212,0.203187008800664
724,"Chill",-160,-0.0281283286636951,0.298937788682719,0.112121212121212,0.194018024635248
725,"Chill",-159,-0.028286042972205,0.278032700275269,0.118181818181818,0.202450321095216
726,"Chill",-158,-0.0323545873328505,0.414824710591356,0.1,0.21995937431314
727,"Chill",-157,-0.0610314914818361,0.423916711455487,0.104545454545455,0.229389220504847
728,"Chill",-156,-0.0674456320907131,0.355108339538907,0.0939393939393939,0.2194918724577
729,"Chill",-155,-0.0407799715107542,0.243536981191181,0.0924242424242424,0.23282383557834
730,"Chill",-154,-0.0604892237680681,0.286313572796093,0.1,0.238886617625776
731,"Chill",-153,-0.0429861597636749,0.232281870047736,0.0924242424242424,0.22979595732943
801,"Chill",-152,-0.0170760237361693,0.167694294125898,0.0984848484848485,0.232100747252953
802,"Chill",-151,-0.0265095627401933,0.249155884322029,0.109090909090909,0.258650586831108
803,"Chill",-150,-0.0402302665076885,0.311674008671669,0.110606060606061,0.249998832700268
804,"Chill",-149,-0.060773776663924,0.441036288227624,0.1,0.24180068752827
805,"Chill",-148,-0.0625081079015036,0.502735892006765,0.0954545454545455,0.239895971290896
